Station,Latitude,Longitude
Admiralty,1.4439,103.7854
Admiralty (West),1.4582,103.7953
Ang Mo Kio,1.3764,103.8492
Boon Lay (East),1.3302,103.7205
Boon Lay (West),1.3275,103.7042
Botanic Garden,1.3087,103.818
Buangkok,1.3837,103.886
Bukit Panjang,1.3824,103.7603
Bukit Timah,1.3191,103.8191
Buona Vista,1.2841,103.7886
Chai Chee,1.3277,103.9203
Changi,1.3678,103.9826
Choa Chu Kang (Central),1.3819,103.7386
Choa Chu Kang (South),1.3729,103.7224
Choa Chu Kang (West),1.3746,103.6938
Clementi,1.3337,103.7768
Dhoby Ghaut,1.2994,103.8461
East Coast Parkway,1.3134,103.9619
Jurong (East),1.3262,103.7354
Jurong (North),1.3505,103.7134
Jurong (West),1.3455,103.6806
Jurong Island,1.2542,103.6741
Jurong Pier,1.3081,103.71
Kampong Bahru,1.2745,103.828
Kent Ridge,1.2923,103.7815
Khatib,1.4173,103.8249
Kranji Reservoir,1.4387,103.7363
Lim Chu Kang,1.4385,103.7013
Lower Peirce Reservoir,1.3701,103.8271
Macritchie Reservoir,1.3417,103.8338
Mandai,1.4036,103.7898
Marina Barrage,1.2799,103.8703
Marine Parade,1.3065,103.9107
Newton,1.3106,103.8365
Nicoll Highway,1.3011,103.8666
Pasir Panjang,1.281,103.754
Pasir Ris (West),1.3863,103.9412
Pasir Ris (Central),1.3679,103.9489
Paya Lebar,1.3524,103.9007
Pulau Ubin,1.4168,103.9673
Punggol,1.4029,103.9092
Queenstown,1.2937,103.8125
Seletar,1.4166,103.8654
Semakau Island,1.189,103.768
Sembawang,1.4252,103.8202
Sentosa Island,1.25,103.8279
Serangoon,1.3382,103.8657
Serangoon North,1.3606,103.8697
Simei,1.3437,103.9444
Somerset (Road),1.3004,103.8372
Tai Seng,1.3399,103.8878
Tanjong Katong,1.307,103.8907
Tanjong Pagar,1.274,103.8482
Tengah,1.3858,103.7114
Toa Payoh,1.3415,103.8519
Tuas,1.3199,103.6616
Tuas South,1.2938,103.6184
Tuas West,1.3247,103.6351
Ulu Pandan,1.3329,103.7556
Upper Peirce Reservoir,1.37,103.805
Upper Thomson,1.3416,103.8106
Whampoa,1.3214,103.8577
Yishun,1.4301,103.8308
